id	sentence1	sentence2	similarity
42	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	3.4
43	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	4.0
44	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	4.9
45	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	3.9
46	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	3.9
47	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	3.415
48	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	3.7
49	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	3.7
50	Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match	3.6
51	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	3.9
52	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	4.9
53	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	4.0
54	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	3.9
55	Three boys are jumping in the leaves	Three kids are jumping in the leaves	4.4
56	Three kids are sitting in the leaves	Three kids are jumping in the leaves	3.8
57	Three boys are jumping in the leaves	Children in red shirts are playing in the leaves	4.1
58	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	3.5
59	Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves	3.9
60	Children in red shirts are sleeping in the leaves	Three kids are jumping in the leaves	3.1
61	Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves	3.9
62	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	4.0
63	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	4.4
64	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	3.8
65	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	2.9
66	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	4.8
67	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	4.1
68	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	4.6
69	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	3.6
70	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	4.1
